Channel Name,Channel Slug,Channel Description,Channel Category,Section Name,Section Slug,Section Order,Episode Number,Episode Title,Episode Slug,Episode Description,Episode Level,Difficulty Level,File Name,Upload Status,Video URL,Thumbnail URL,Required Tier Level,Is First Episode,Status,Season Number,Tags,Notes
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,1,Footwork,footwork,"Develop explosive footwork and coordination with inside-outside hops. Focus on hopping quickly on and off the line while moving your arms dynamically. This fundamental drill builds the foundation for advanced ball handling movements.",Easy,beginner,1 indi app vids.mov,Yes,,,1,true,published,1,"footwork,warmup,coordination",Inside-outside hop pattern with arm movement
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,2,Pound Dribble Control,pound-dribble-control,"Build power and control through aggressive pound dribbles with both hands. Maintain a wide base slightly more than shoulder width, keep your off hand relaxed, and focus on denting the floor with each dribble. Keep your head up as you advance through the drill.",Easy,beginner,2 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,pound-dribble,fundamentals",Double pounds left and right with proper form
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,3,Injured Drill,injured-drill,"Maintain your ball handling skills even when injured. Practice double pound to double front cradle variations around your body to keep your touch sharp during recovery periods.",Advanced,intermediate,3 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,injury-recovery,advanced",Double pound to double front cradle combination
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,4,Footwork Reps,footwork-reps,"Enhance your footwork with single leg lateral hops. This drill includes detailed explanation of how footwork connects to ball handling, helping you understand the relationship between lower body movement and ball control.",Easy,beginner,4 indi app vids.mov,Yes,,,2,false,published,1,"footwork,lateral-movement,coordination",Single leg lateral hop with ball handling connection
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,5,Dribble Drag Drill,dribble-drag-drill,"Master the drag pull misdirection dribble to create space and maintain control. Ensure each leg steps across your body while pulling the ball inward between your legs. After crossing between the legs and pulling back, reach center and transition directly into your double pound.",Easy,beginner,5 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,misdirection,space-creation",Drag pull misdirection with leg crossovers
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,6,Pound Between & Behind,pound-between-behind,"Combine pound dribbles with between the legs and behind the back moves. When dribbling between the legs, bend your body slightly so your feet remain stationary while creating enough room to get the ball through dynamically. The video includes detailed explanation for getting lower.",Easy,beginner,6 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,combinations,advanced-moves",Double pound with between legs and behind back
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,7,Pound to Front Cross,pound-to-front-cross,"Execute double pound to double front cross combinations, returning to the same hand. Complete 10 double crosses with each hand, maintaining control and rhythm throughout the movement.",Easy,beginner,9 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,crossover,combinations",Double pound to double front cross pattern
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,8,Warm Up,warm-up,"Prepare your body for training with essential stretching routines. Focus on hamstring stretches and kicking backwards on back pedals to activate your muscles and prevent injury.",Easy,beginner,10 indi app vids.mov,Yes,,,2,false,published,1,"warmup,stretching,injury-prevention",Hamstring stretch and back pedal activation
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,9,Figure 8,figure-8,"Master the classic figure-8 drill with constant taps. Complete 10 figure-8s starting in each hand for a total of 20 repetitions. This fundamental exercise builds hand coordination and ball control.",Advanced,intermediate,11 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,figure-8,coordination",Constant tap figure-8s with both hands
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,10,Double Punch Combo,double-punch-combo,"Execute double behind combinations with explosive power. Focus on denting the floor with your double pounds, then push yourself with speed to control the double behind right into the double pound sequence.",Easy,beginner,12 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,combinations,power",Double punch to double behind combination
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,11,Line Ladder Work,line-ladder-work,"Improve your footwork precision with alternating staggered stances on the line. Move your arms dynamically while stepping, developing coordination between upper and lower body movements.",Easy,beginner,13 indi app vids.mov,Yes,,,2,false,published,1,"footwork,ladder-drill,coordination",Alternating staggered stance with arm movement
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,12,Double Pound Front Cross,double-pound-front-cross,"Master double front cross combinations with floor-denting intensity. Complete 10 double crosses with each hand, focusing on power and control throughout the movement.",Easy,beginner,14 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,crossover,power",Double pound to double front cross
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,13,Wrap Control Drill,wrap-control-drill,"Develop ball wrapping skills with high-speed waist wraps. Increase your speed as your reps get higher, challenging yourself to maintain control while pushing the pace. This drill is perfect for indoor practice when dribbling isn't an option.",Easy,beginner,16 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,wrap-around,indoor-training",High-speed waist wraps with progressive difficulty
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,14,Stretches,stretches,"Essential stretching routine for ball handlers focusing on quad and hamstring flexibility. Maintain mobility and prevent injury with proper warm-up and recovery exercises.",Easy,beginner,17 indi app vids.mov,Yes,,,2,false,published,1,"stretching,flexibility,recovery",Quad and hamstring stretches
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,15,Pound Cross,pound-cross,"Execute double pound into a single cross with purpose and control. Focus on denting the floor with each pound, then cross the ball over decisively while keeping your head up throughout the movement.",Easy,beginner,19 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,crossover,fundamentals",Double pound to single cross
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,16,Figure 8 Explanation,figure-8-explanation,"Detailed explanation of figure-8 ball handling technique. Understand proper form, common mistakes, and how to maximize effectiveness. Pair this explanation with the figure-8 drill video for complete understanding.",Easy,beginner,20 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,explanation,technique",Technique breakdown for figure-8 drill
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,17,Ladder Line Work,ladder-line-work,"Advanced line ladder work with double taps before moving your foot outside the line and back in. Coordinate arm movements with foot movements, developing advanced coordination and spatial awareness.",Advanced,intermediate,21 indi app vids.mov,Yes,,,2,false,published,1,"footwork,ladder-drill,advanced",Double tap pattern with line work
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,18,Warm Up Video,warm-up-video,"Activate your hips with karaoke step warm-up. Drive your first leg step over an invisible hurdle to activate your hip muscles and prepare for dynamic movement.",Easy,beginner,23 indi app vids.mov,Yes,,,2,false,published,1,"warmup,hip-activation,mobility",Karaoke step for hip activation
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,19,Warm Up Video 2,warm-up-video-2,"Improve hip swivels and hip mobility with Spanish steps. Coordinate opposite arm movements across your body as your leg moves across (right leg goes across, left arm comes across), enhancing rotational mobility.",Advanced,intermediate,24 indi app vids.mov,Yes,,,2,false,published,1,"warmup,hip-mobility,coordination",Spanish steps with opposite arm coordination
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,20,Pound Double Between,pound-double-between,"Master double between the legs moves with proper body positioning. Stay low and get even lower when going between your legs, keeping your double pound at knee height for optimal control.",Easy,beginner,26 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,between-legs,body-position",Double between the legs with low stance
Ball Handling Fundamentals,ball-handling-fundamentals,"Master essential ball handling skills with professional drills you can practice anywhere. Develop coordination, control, and confidence with the basketball.",basketball,No Court,no-court,1,21,Pound Through Legs,pound-through-legs,"Combine double pound with double reverse cradle for advanced ball control. This drill helps develop ball control and teaches you to cradle the basketball without carrying, pairing perfectly with the injured drill episode.",Easy,beginner,28 indi app vids.mov,Yes,,,2,false,published,1,"ball-handling,reverse-cradle,ball-control",Double pound to double reverse cradle
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,1,Bank Shots,bank-shots,"Master the art of bank shots from various angles without a rebounder. Practice single side wing bank shots off hop catches, focusing on proper technique and angle selection. Complete 10 made shots to build consistency.",Advanced,intermediate,29 indi app.mov,Yes,,,1,true,published,1,"shooting,bank-shot,wing-shooting",Single side wing bank shots with hop catch
Shooting Fundamentals,shooting-fundamentals,"Master your shooting form and accuracy with solo practice drills. Perfect your jump shot, free throws, and three-point shooting without needing a rebounder.",basketball,On Court,on-court,1,2,Jumpers,jumpers,"Develop consistent jump shot form from the same side wing. Focus on proper mechanics, balance, and follow-through. Complete 10 made shots to build muscle memory and shooting confidence.",Easy,beginner,30 indi app.mov,Yes,,,2,false,published,1,"shooting,jump-shot,form",Same side wing jumpers
